epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71721,2.79455,3.55302,2.71654,0.00552,0.65278,0.09371,0.01325,3.363,3.77508,3.54818,0,0,0
2,10.658,2.88619,3.35622,3.08453,0.00602,0.68056,0.15622,0.03184,3.34463,3.74731,3.5278,1.63399e-05,1.63399e-05,1.63399e-05
3,15.2257,2.93063,3.47659,3.22715,0.00696,0.73611,0.16171,0.04448,3.3203,3.73762,3.48763,3.20197e-05,3.20197e-05,3.20197e-05
4,19.8549,2.91201,3.35521,2.98475,0.00697,0.83333,0.16687,0.04572,3.27932,3.67657,3.41196,4.70394e-05,4.70394e-05,4.70394e-05
5,24.5144,3.02828,3.21564,3.17526,0.00695,0.83333,0.18327,0.04811,3.16916,3.69107,3.27221,6.13989e-05,6.13989e-05,6.13989e-05
6,29.1737,2.97393,3.48705,3.21957,0.0066,0.70833,0.13832,0.03297,3.05329,3.65144,3.09501,7.50984e-05,7.50984e-05,7.50984e-05
7,33.7053,2.65937,3.20175,2.75433,0.00658,0.70833,0.11654,0.02845,2.92544,3.62765,2.85617,8.81376e-05,8.81376e-05,8.81376e-05
8,38.1495,2.55779,3.06714,2.43937,0.00705,0.73611,0.14752,0.0396,2.74361,3.67322,2.62154,0.000100517,0.000100517,0.000100517
9,42.5479,2.07722,3.08607,2.11056,0.00702,0.73611,0.19852,0.05352,2.58331,3.65158,2.40583,0.000112236,0.000112236,0.000112236
10,47.237,2.38196,2.98107,2.20629,0.00748,0.76389,0.23752,0.07777,2.42465,3.55431,2.24264,0.000123295,0.000123295,0.000123295
11,52.3998,2.3234,3.00775,2.33604,0.00709,0.73611,0.27506,0.09435,2.32744,3.49252,2.16559,0.000133693,0.000133693,0.000133693
12,57.1604,2.41329,2.83117,2.21301,0.00798,0.79167,0.27863,0.10271,2.19823,3.48521,2.0392,0.000143432,0.000143432,0.000143432
13,65.8418,2.11489,2.60565,2.02851,0.0072,0.63889,0.30422,0.12717,2.10173,3.43413,1.94179,0.00015251,0.00015251,0.00015251
14,70.5223,1.91814,2.5662,1.9784,0.00751,0.76389,0.31663,0.13859,2.03495,3.33781,1.88986,0.000160929,0.000160929,0.000160929
15,75.5427,2.33096,2.70877,2.15391,0.00785,0.79167,0.36032,0.15355,2.02818,3.32916,1.8587,0.000168687,0.000168687,0.000168687
16,80.5952,2.1189,2.54563,2.07703,0.00769,0.79167,0.37106,0.17522,2.01451,3.28454,1.85693,0.000175785,0.000175785,0.000175785
17,85.1952,1.87691,1.97913,1.76969,0.00715,0.66667,0.41486,0.18757,2.04785,3.23956,1.85936,0.000182223,0.000182223,0.000182223
18,89.9899,1.93357,2.20015,1.84327,0.00715,0.66667,0.41486,0.18757,2.04785,3.23956,1.85936,0.000188001,0.000188001,0.000188001
19,94.6759,2.01584,2.15092,1.83303,0.00716,0.56944,0.51208,0.22609,2.03399,3.15377,1.83863,0.000193119,0.000193119,0.000193119
20,99.2587,1.79845,2.14601,1.67436,0.00716,0.56944,0.51208,0.22609,2.03399,3.15377,1.83863,0.000197576,0.000197576,0.000197576
21,103.908,1.8872,2.22875,1.80974,0.00715,0.56944,0.544,0.2472,1.94002,3.09607,1.7826,0.000201374,0.000201374,0.000201374
22,108.453,1.8572,2.09824,1.75382,0.00715,0.56944,0.544,0.2472,1.94002,3.09607,1.7826,0.000204511,0.000204511,0.000204511
